surveillance_network	age_group	site	variable	n_nonmissing	first_epiweeks	last_epiweeks	first_week_ending_date	last_week_ending_date
FluSurv-NET	65+ yr	Overall	rate_per_100k	252	201840	202627	2018-10-06	2026-07-04
FluSurv-NET	65+ yr	Overall	rsvpos	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	65+ yr	Overall	rsvtest	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	65+ yr	Overall	rsv_positivity	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	65+ yr	Overall	wili	251	201840	202626	2018-10-06	2026-06-27
FluSurv-NET	65+ yr	Overall	flu_positivity	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	65+ yr	Overall	ed_influenza_pct_65p	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	65+ yr	Overall	ed_rsv_pct_65p	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	California	rate_per_100k	252	201840	202627	2018-10-06	2026-07-04
FluSurv-NET	Overall	California	rsvpos	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	Overall	California	rsvtest	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	Overall	California	rsv_positivity	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	Overall	California	wili	251	201840	202626	2018-10-06	2026-06-27
FluSurv-NET	Overall	California	flu_positivity	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	California	ed_influenza_pct_65p	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	California	ed_rsv_pct_65p	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	Colorado	rate_per_100k	252	201840	202627	2018-10-06	2026-07-04
FluSurv-NET	Overall	Colorado	rsvpos	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	Overall	Colorado	rsvtest	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	Overall	Colorado	rsv_positivity	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	Overall	Colorado	wili	251	201840	202626	2018-10-06	2026-06-27
FluSurv-NET	Overall	Colorado	flu_positivity	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	Colorado	ed_influenza_pct_65p	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	Colorado	ed_rsv_pct_65p	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	Connecticut	rate_per_100k	252	201840	202627	2018-10-06	2026-07-04
FluSurv-NET	Overall	Connecticut	rsvpos	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	Overall	Connecticut	rsvtest	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	Overall	Connecticut	rsv_positivity	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	Overall	Connecticut	wili	251	201840	202626	2018-10-06	2026-06-27
FluSurv-NET	Overall	Connecticut	flu_positivity	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	Connecticut	ed_influenza_pct_65p	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	Connecticut	ed_rsv_pct_65p	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	Georgia	rate_per_100k	252	201840	202627	2018-10-06	2026-07-04
FluSurv-NET	Overall	Georgia	rsvpos	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	Overall	Georgia	rsvtest	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	Overall	Georgia	rsv_positivity	62	201840	202018	2018-10-06	2020-05-02
FluSurv-NET	Overall	Georgia	wili	251	201840	202626	2018-10-06	2026-06-27
FluSurv-NET	Overall	Georgia	flu_positivity	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	Georgia	ed_influenza_pct_65p	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	Georgia	ed_rsv_pct_65p	154	202240	202627	2022-10-08	2026-07-04
FluSurv-NET	Overall	Iowa	rate_per_100k	36	202140	202223	2021-10-09	2022-06-11
FluSurv-NET	Overall	Iowa	rsvpos	0				
FluSurv-NET	Overall	Iowa	rsvtest	0				
FluSurv-NET	Overall	Iowa	rsv_positivity	0				
FluSurv-NET	Overall	Iowa	wili	36	202140	202223	2021-10-09	2022-06-11
FluSurv-NET	Overall	Iowa	flu_positivity	0				
FluSurv-NET	Overall	Iowa	ed_influenza_pct_65p	0				
FluSurv-NET	Overall	Iowa	ed_rsv_pct_65p	0				
FluSurv-NET	Overall	Maryland	rate_per_100k	252	201840	202627	2018-10-06	2026-07-04
FluSurv-NET	Overall	Maryland	rsvpos	62	201840	202018	2018-10-06	2020-05-02
